I_arcSum,I_inj_total,OTor3,PlasmaRogA,V_InjD12
4.8543053,-8.3448486,-0.39753917,1535.2939,0
5.0773811,-7.4617615,-0.050233722,1535.4554,0
5.0773811,-4.3769836,-0.050233722,1535.6171,0
5.0773811,-6.3653793,-0.050233722,1535.7786,0
4.8543053,-5.0476379,-0.050233722,1535.9401,0
5.0773811,-6.1525192,-0.050233722,1536.1016,0
5.0773811,-6.3809509,-0.050233722,1536.2632,0
5.0773811,-4.8423462,-0.050233722,1536.4247,0
5.0773811,-5.7334061,-0.050233722,1536.5862,0
5.0773811,-2.8695145,-0.050233722,1536.7477,0
5.0773811,-5.7485199,0.29707184,1536.9093,0
5.0773811,-5.3143158,0.29707184,1537.0708,0
4.8543053,-7.5377808,0.29707184,1537.2323,0
4.6312294,-7.3244553,-0.050233722,1537.3939,0
5.0757022,-4.2467957,-0.050233722,1537.5554,0
5.520175,-6.4631577,-0.050233722,1537.1052,0
5.520175,-5.8151627,-0.050233722,1537.2667,0
5.520175,-8.0315323,-0.050233722,1537.4282,0
5.9646473,-8.0390854,-0.050233722,1536.978,0
5.2970996,-6.4933701,0.29707184,1537.1396,0
4.4098339,-4.7196655,0.29707184,1537.3011,0
4.6329098,-0.52339172,-0.050233722,1537.4626,0
5.0773821,-4.2930298,-0.050233722,1537.6241,0
5.2987785,-3.1961746,-0.050233722,1537.7858,0
5.2987785,-3.6384048,-0.050233722,1537.9473,0
4.8543062,-3.4179688,-0.050233722,1537.4971,0
4.6329098,-0.99584961,-0.050233722,1537.6586,0
4.4098339,-2.7704315,0.29707184,1537.8201,0
4.4098339,-0.34831238,0.29707184,1537.9817,0
3.9653614,-1.674057,0.29707184,1538.1432,0
4.4098334,-2.5722427,-0.050233722,1538.3047,0
5.2970991,-4.5819092,-0.39753917,1538.4663,0
5.0740232,-5.7009811,-0.39753917,1538.6278,0
4.6295505,-1.7255859,-0.050233722,1538.7893,0
4.4081535,-4.6045685,-0.050233722,1538.9508,0
4.4081535,-3.7286224,-0.050233722,1539.1124,0
4.4081535,-6.6147385,-0.050233722,1539.2739,0
4.1850777,-6.6222839,0.29707184,1539.4354,0
4.1850777,-4.6419067,-0.050233722,1539.5969,0
4.1850777,-6.1956406,-0.050233722,1539.7585,0
3.9636812,-4.4432449,-0.39753917,1539.92,0
3.9636812,-5.9898682,-0.39753917,1540.0815,0
3.9636812,-5.1068039,-0.050233722,1540.243,0
4.1867571,-5.7769928,-0.050233722,1540.4047,0
4.1867571,-5.7845612,0.29707184,1540.5662,0
4.409833,-2.6997833,0.29707184,1540.7277,0
4.4115124,-6.2485352,-0.050233722,1540.8892,0
4.1901155,-4.4890442,-0.39753917,1541.0508,0
3.9687185,-6.48452,-0.050233722,1541.2123,0
4.1917944,-5.3805695,-0.050233722,1541.3738,0
4.1917944,-4.0628281,-0.050233722,1540.9236,0
4.4131913,-4.9539261,-0.050233722,1541.0852,0
4.4131913,-2.9806519,0.29707184,1541.2467,0
4.4131913,-6.5294037,0.29707184,1541.4082,0
4.1901155,-6.0951996,0.29707184,1541.5697,0
4.4131913,-6.9862747,-0.050233722,1541.7312,0
4.1901155,-6.7729645,-0.050233722,1541.8927,0
